id,tweet,cleanTweets
230,"Semen Boosts AIDS Virus, Study Finds http://nbcnews.to/1sDKeFQ",semen boosts aids virus study finds
231,Watch Live: Senate Hearing on Ebola http://nbcnews.to/1xtvpuI,watch live senate hearing on ebola
232,Coming Up: Senate Hearing on Ebola http://nbcnews.to/1v4yyCP,coming up senate hearing on ebola
233,Duncan Family Atty.: 'We're Here to Announce a Settlement' http://nbcnews.to/1oM4qtV,duncan family atty we are here to announce a settlement
234,Ebola Kills Nurse in Mali and Worse Spread Is Feared http://nbcnews.to/1Eu9Yeq,ebola kills nurse in mali and worse spread is feared
235,Watch Live:  Family of Thomas Eric Duncan Hold News Conference http://nbcnews.to/1EBJyt8,watch live family of thomas eric duncan hold news conference
236,"Diets Don't Work for Long, Review Shows http://nbcnews.to/1u7MsD1",diets do not work for long revieshows
237,Homeless Brace For Cold http://nbcnews.to/1B2HoV6,homeless brace for cold
238,Mom's Hand-Made Disney Costumes Help Shy Girl Blossom http://nbcnews.to/1yuVBEL,moms hand made disney costumes help shy girl blossom
239,"Doctor, Cured of Ebola, Released With Cheers, Hugs http://nbcnews.to/1zJQyUU",doctor cured of ebola released with cheers hugs
240,'Today I Am Healthy': Ebola-Stricken Doctor Leaves Hospital http://nbcnews.to/1yuJvv3,today i am healthy ebola stricken doctor leaves hospital
241,Hickox: Frustrated Nursing School Turned Away Boyfriend http://nbcnews.to/1tYfW4u,hickox frustrated nursing school turned away boyfriend
242,Watch Live:  Ebola-Free Doctor Craig Spencer Speaks http://nbcnews.to/148KVmj,watch live ebola free doctor craig spencer speaks
243,Coming Up: Last U.S. Ebola Patient Leaves Hospital http://nbcnews.to/148KTdY,coming up last us ebola patient leaves hospital
244,Mapping the Criminal Mind http://nbcnews.to/1u61zNg,mapping the criminal mind
245,Mom to Auction Off Ring to Help Pay for Adoption http://nbcnews.to/1u61xVt,mom to auction off ring to help pay for adoption
246,Fighting Stigma: AIDS Counselor Turns Efforts to Ebola http://nbcnews.to/1xp9oNy,fighting stigma aids counselor turns efforts to ebola
247,Eight Women Die After Sterilization Surgery in India http://nbcnews.to/1B0tuCU,eight women die after sterilization surgery in india
248,Dad Builds Costume to Help Sick Infant 'Feel Brave' http://nbcnews.to/1uYSJTr,dad builds costume to help sick infant feel brave
249,Ebola-Free America: Last U.S. Patient Is Cured http://nbcnews.to/1ugzjao,ebola free america last us patient is cured
250,Medicare Plans to Pay for Lung Cancer Screening http://nbcnews.to/1Emqgpu,medicare plans to pay for lung cancer screening
251,Administration Lowers Its Obamacare Sights http://nbcnews.to/1pJuV3W,administration lowers its obamacare sights
252,Scrubs Go High-Tech http://nbcnews.to/1ElMtUP,scrubs go high tech
253,Thousands of Children at Risk from Laundry Pods: Study http://nbcnews.to/10OA9zB,thousands of children at risk from laundry pods study
254,'Marshall Plan for West Africa': Where $6 Billion for Ebola Will Go http://nbcnews.to/1ozYjst,marshall plan for west africa where money billion for ebola will go
255,Snooze or lose: Tips for getting a good night's sleep http://nbcnews.to/1EhZgaU,snooze or lose tips for getting a good nights sleep
256,To the Moon! Nurses Help Babies in Intensive Care Dream Big http://nbcnews.to/1w4YPvZ,to the moon nurses help babies in intensive care dream big
257,Is It Safe to Eat Tuna Fish Every Day? http://nbcnews.to/10LVR7l,is it safe to eat tuna fish every day
258,'Million Dollar Question': Why Can't We Sleep?  http://nbcnews.to/1zc8ULa,million dollar question why can not we sleep
259,The Science of Children's Sleep http://nbcnews.to/1uOrD19,the science of childrens sleep
260,Teens Aren't Taking Sports Injuries Seriously: Study http://nbcnews.to/1spWydy,teens are not taking sports injuries seriously study
261,Why the Republican Congress Can't Gut Obamacare http://nbcnews.to/1u8PRB0,why the republican congress can not gut obamacare
262,Autism Advocates Welcome Seinfeld's Disclosure http://nbcnews.to/1ACfyP6,autism advocates welcome seinfelds disclosure
263,Autism Advocates Welcome Seinfeld's Disclosure http://nbcnews.to/1vVOORX,autism advocates welcome seinfelds disclosure
264,U.K. Mom Opts to End Life of Disabled Child  http://nbcnews.to/1AAni4j,uk mom opts to end life of disabled child
265,Allergic to Penicillin? You're Probably Not http://nbcnews.to/1vUq1NV,allergic to penicillin you are probably not
266,Viral Baby Announcement Includes Cookies and Screams http://nbcnews.to/1tI6QZp,viral baby announcement includes cookies and screams
267,It's Over: Texas' Ebola Outbreak Has Ended http://nbcnews.to/1vSfBhS,its over texas ebola outbreak has ended
268,Most People Allergic to Penicillin Are Not: Researchers http://nbcnews.to/1ptV2vC,most people allergic to penicillin are not researchers
269,It's Over: Texas Ebola Outbreak About to End http://nbcnews.to/1xlnRJH,its over texas ebola outbreak about to end
270,Pokey Robot Creates a Ghostly Presence on Demand http://nbcnews.to/1Guq2Rk,pokey robot creates a ghostly presence on demand
271,RT @JuliaSommerfeld: Tales of chucking big jobs are the new lady porn RT @ELLEmagazine: What's REALLY causing women to burn out before 30: …,tales of chucking big jobs are the nelady porn whats really causing women to burn out before number 
272,Is Holiday Coffee Worth the Calories? http://nbcnews.to/10sZNcz,is holiday coffee worth the calories
273,A Look Inside US Ebola Facility in Monrovia http://nbcnews.to/1GtvoMp,a look inside us ebola facility in monrovia
274,Ebola Nurse Amber Vinson Defends Decision to Fly http://nbcnews.to/1ppW4c2,ebola nurse amber vinson defends decision to fly
275,Try This Bizarre Trick to Cure Carsickness in Kids http://nbcnews.to/1s90n67,try this bizarre trick to cure carsickness in kids
276,'Appy' Baby: 8 Innovations That Help New Parents http://nbcnews.to/1s90n61,appy baby number innovations that help neparents
277,Colon Cancer's New Face: Getting Younger http://nbcnews.to/1pn2SqV,colon cancers neface getting younger
278,Obama Seeks $6 Billion for Ebola Fight http://nbcnews.to/1uwSaQC,obama seeks money billion for ebola fight
279,Men Over 50 Miss This Important Medical Test: Study http://nbcnews.to/1pmupIU,men over number miss this important medical test study
280,Could Air Pollution Help Cause ADHD? http://nbcnews.to/13IUXu9,could air pollution help cause adhd
281,Mom Charged With Killing Autistic Son 'Heard Voices' http://nbcnews.to/1x6Lg28,mom charged with killing autistic son heard voices
282,8 Million U.S. Women Skip Cervical Cancer Screening http://nbcnews.to/1yZa4cR,number million us women skip cervical cancer screening
283,Mom Charged With Killing Autistic Son 'Heard Voices' http://nbcnews.to/1u0AASU,mom charged with killing autistic son heard voices
284,Nurse Leaves Hospital Still Mourning 'Executed' Dog http://nbcnews.to/1Eiugt7,nurse leaves hospital still mourning executed dog
285,"'Guerrilla Dad': To Empower Kids, Don't Pay For College http://nbcnews.to/10V5OzU",guerrilla dad to empower kids do not pay for college
286,Was Autistic Boy's Killing a Desperate Cry for Help? http://nbcnews.to/1GoJBKx,was autistic boys killing a desperate cry for help
287,No-Fly Zone: Ebola Quarantine Rules Keep Researchers Away http://nbcnews.to/10jncgz,no fly zone ebola quarantine rules keep researchers away
288,Maynard's Death: Why Is Brain Cancer So Lethal? http://nbcnews.to/1tFcDRb,maynards death why is brain cancer so lethal
289,Mom Accused of Tossing Son off Bridge Blogged About Autism http://nbcnews.to/1tFcDR7,mom accused of tossing son off bridge blogged about autism
290,Vatican Official Denounces Brittany Maynard's Death http://nbcnews.to/1tXM7Ce,vatican official denounces brittany maynards death
291,Thousands Break Ebola Quarantine to Find Food http://nbcnews.to/1tXM5KS,thousands break ebola quarantine to find food
292,Home Test a New Option For Colon Cancer Screening http://nbcnews.to/1wupHtk,home test a neoption for colon cancer screening
293,World Bank: Ebola Battle Needs More Help From Asia http://nbcnews.to/1x3fhjk,world bank ebola battle needs more help from asia
294,Politically Hot or Not: Attractiveness Decided on Party Lines http://nbcnews.to/1uq0GQw,politically hot or not attractiveness decided on party lines
295,Why Pregnancy Doesn't Keep Me From Running http://nbcnews.to/1ofRWKI,why pregnancy does not keep me from running
296,Ebola Crisis: How Americans Can Help http://nbcnews.to/1rJcGtZ,ebola crisis hoamericans can help
297,Breakthrough? Nose Spray Ebola Vaccine Protects Monkeys http://nbcnews.to/10l66z4,breakthrough nose spray ebola vaccine protects monkeys
298,Brittany Maynard's Death: An Ethical Choice? http://nbcnews.to/1GfzqrV,brittany maynards death an ethical choice
299,Doctor Dies From Ebola In Sierra Leone http://nbcnews.to/1wXtEbn,doctor dies from ebola in sierra leone
300,The Baby Talk Gap? Moms May Talk More to Girls http://nbcnews.to/1EcuQsm,the baby talk gap moms may talk more to girls
301,Brittany Maynard Dies in Oregon  http://nbcnews.to/1GcHUzK,brittany maynard dies in oregon
302,'Abundance of Politics': Ebola Nurse Slams Christie http://nbcnews.to/1DKwkrK,abundance of politics ebola nurse slams christie
303,U.N. Worker Flown to France for Ebola Treatment http://nbcnews.to/1t0xokP,un worker flown to france for ebola treatment
304,Is the CDC Fueling Anti-Fat Bias in Workplaces? http://nbcnews.to/1G9phNi,is the cdc fueling anti fat bias in workplaces
305,'Scared' But Willing: Doctor Heading to Africa to Fight Ebola http://nbcnews.to/1wSobz9,scared but willing doctor heading to africa to fight ebola
306,Eluding Ebola: Why Skills May Matter More Than Gear http://nbcnews.to/1wRoFq8,eluding ebola why skills may matter more than gear
307,Have Ebola Controversies Harmed the Fight? http://nbcnews.to/1nWLVCv,have ebola controversies harmed the fight
308,Lead Poisoning: A Hidden Danger at Shooting Ranges http://nbcnews.to/10739lA,lead poisoning a hidden danger at shooting ranges
309,"Welcome Back, Bentley! Ebola Nurse, Dog to Be Reunited http://nbcnews.to/1wMQ7X1",welcome back bentley ebola nurse dog to be reunited
310,Brittany Maynard and Dan Diaz: A Love Story http://nbcnews.to/1tn0PkL,brittany maynard and dan diaz a love story
311,Gerber Accused of False Claims on Baby Formula http://nbcnews.to/1tlHxh7,gerber accused of false claims on baby formula
312,Ambassador Power: I'll Follow 'Strictest Protocols' on Ebola http://nbcnews.to/1q4Kmhx,ambassador power i will follo strictest protocols on ebola
313,Maine Gov.: Police are there to protect Kaci Hickox http://nbcnews.to/1wJrHNm,maine gov police are there to protect kaci hickox
314,Can a Class Shake Off the Effects of Social Media? http://nbcnews.to/1zNXlOd,can a class shake off the effects of social media
315,Execution Date Set for 'Delusional' Murderer in Texas http://nbcnews.to/1wJesLF,execution date set for delusional murderer in texas
316,NYC 'Actively Monitoring' 117 People for Ebola Risk http://nbcnews.to/13lrxSA,nyc actively monitoring number people for ebola risk
317,NBC's Kate Snow On Covering the Ebola Story As a Mom http://nbcnews.to/1wITcWa,nbcs kate snoon covering the ebola story as a mom
318,Kaci Hickox: Still Waiting to Hear From the State of Maine http://nbcnews.to/1zNsvFs,kaci hickox still waiting to hear from the state of maine
319,Kari Hickox: Still Waiting to Hear From the State of Maine http://nbcnews.to/1wIyKVz,kari hickox still waiting to hear from the state of maine
320,"Brittany Maynard May Stay Longer Than Planned, She Says http://nbcnews.to/1wIn9Wy",brittany maynard may stay longer than planned she says
321,How Ebola Kills: Study Finds the Deadly Signs http://nbcnews.to/1sK1mtr,hoebola kills study finds the deadly signs
322,"Gene Trawls Haul in New Finds on Autism, MS http://nbcnews.to/1tiozIe",gene trawls haul in nefinds on autism ms
323,Dozens Of Volunteers Have Come Back Safe From Ebola Hot Zone http://nbcnews.to/1wEU27r,dozens of volunteers have come back safe from ebola hot zone
324,Medical Experts Seek To Ban On-Campus Tanning http://nbcnews.to/1E3dcah,medical experts seek to ban on campus tanning
325,Skin Cancer U? Students Tan on Campus at Top Colleges http://nbcnews.to/1vhGKKT,skin cancer u students tan on campus at top colleges
326,Why I Run: How Divorce Led Me to the NYC Marathon http://nbcnews.to/1pZrTmK,why i run hodivorce led me to the nyc marathon
327,Obama Speaks With Health Workers on Ebola Frontlines http://nbcnews.to/1pZrTmE,obama speaks with health workers on ebola frontlines
328,FDA Approves New Meningitis B Vaccine http://nbcnews.to/1tOuMNj,fda approves nemeningitis b vaccine
329,Obama Meets With Health Workers Fighting Ebola http://nbcnews.to/1vhwCBQ,obama meets with health workers fighting ebola
330,Mini-Stomachs Let Scientists Study Ulcers in a Lab Dish http://nbcnews.to/1vh9mDU,mini stomachs let scientists study ulcers in a lab dish
331,Amb. Power: Ebola Screening Procedures 'Extremely Important' http://nbcnews.to/1tNsfTH,amb power ebola screening procedures extremely important
332,Amb. Power on Possible Quarantine: 'I Will Obey The Law' http://nbcnews.to/1nQhjCE,amb power on possible quarantine i will obey the la
333,Amb. Power: Ebola Screening Procedures 'Extremely Important' http://nbcnews.to/1nQhjmd,amb power ebola screening procedures extremely important
334,4 Stroke Symptoms to Watch For http://nbcnews.to/1FVLgXV,number stroke symptoms to watch for
335,Hagel Approves 21-day Ebola Quarantine for Troops http://nbcnews.to/1wFg9JY,hagel approves number day ebola quarantine for troops
336,Defiant Ebola Nurse: I Will Not Be 'Bullied by Politicians' http://nbcnews.to/1u7BoY6,defiant ebola nurse i will not be bullied by politicians
337,Nurse Won't Obey Ebola Quarantine: Report http://nbcnews.to/ZZUKAz,nurse will not obey ebola quarantine repo
338,Oh Boy! Couple With 12 Sons Expecting Baby No. 13 http://nbcnews.to/1tDah4S,oh boy couple with number sons expecting baby no number
339,"Not Just Lazy: Chronic Fatigue is Real, Brain Scans Show http://nbcnews.to/1tJJdSS",not just lazy chronic fatigue is real brain scans sho
340,Aid Groups Plead for Donations for Ebola Orphans http://nbcnews.to/1xBslf0,aid groups plead for donations for ebola orphans
341,Ebola-Free Amber Vinson: 'A Day of Celebration and Gratitude' http://nbcnews.to/1pV5eb5,ebola free amber vinson a day of celebration and gratitude
342,Ebola-Free: Nurse Amber Vinson Leaves Emory Hospital http://nbcnews.to/1tdNefz,ebola free nurse amber vinson leaves emory hospital
343,Woman Asked to Stop Breast-Feeding in OB-GYN Office http://nbcnews.to/1vaJjOF,woman asked to stop breast feeding in ob gyn office
